iter	RMSE
0	2443.479246
1	1989.481902
2	1772.313336
3	1668.575034
4	1581.133408
5	1546.972855
6	1525.975367
7	1516.595615
8	1501.394349
9	1493.068538
10	1487.120943
11	1479.872337
12	1474.906528
13	1468.855516
14	1462.384713
15	1451.140557
16	1446.765109
17	1442.14777
18	1438.499458
19	1434.654126
20	1430.339808
21	1427.454542
22	1421.875747
23	1419.440483
24	1416.704499
25	1412.130472
26	1410.114882
27	1408.200254
28	1403.848105
29	1401.414867
30	1398.94209
31	1395.932947
32	1393.882817
33	1389.253923
34	1386.790157
35	1384.439117
36	1380.452558
37	1378.436176
38	1377.160337
39	1374.297488
40	1373.173272
41	1370.67113
42	1369.308292
43	1367.749707
44	1366.807345
45	1365.418839
46	1364.519499
47	1362.657799
48	1361.469873
49	1358.886408
50	1357.087835
51	1355.84962
52	1353.102135
53	1352.00201
54	1350.578448
55	1348.799445
56	1346.86133
57	1344.233625
58	1342.193101
59	1340.400772
60	1337.780685
61	1336.608171
62	1335.75578
63	1334.339738
64	1332.28633
65	1331.107582
66	1329.858631
67	1328.9738
68	1327.85903
69	1325.352135
70	1323.793452
71	1323.091433
72	1322.162179
73	1321.121691
74	1319.66959
75	1318.520836
76	1317.131796
77	1315.279336
78	1314.392798
79	1313.190582
80	1311.866901
81	1310.590416
82	1309.622087
83	1308.624599
84	1307.846995
85	1306.597904
86	1304.766645
87	1304.011358
88	1303.119265
89	1301.962461
90	1301.003047
91	1299.083681
92	1298.25199
93	1296.396295
94	1295.938555
95	1294.988567
96	1294.005322
97	1292.534189
98	1290.648989
99	1289.486865
