iter	Passed	Remaining
0	322	31904
1	448	21992
2	717	23195
3	875	21010
4	1127	21421
5	1309	20515
6	1466	19479
7	1597	18367
8	1919	19408
9	2093	18844
10	2222	17979
11	2345	17201
12	2489	16660
13	2596	15946
14	2738	15516
15	2907	15265
16	3091	15092
17	3209	14623
18	3332	14206
19	3486	13947
20	3619	13617
21	3735	13243
22	3875	12973
23	3997	12657
24	4118	12356
25	4276	12171
26	4414	11934
27	4552	11706
28	4668	11430
29	4855	11328
30	5101	11355
31	5286	11234
32	5649	11469
33	5810	11279
34	5951	11052
35	6147	10928
36	6325	10769
37	6466	10551
38	6570	10276
39	6718	10078
40	6826	9823
41	6955	9604
42	7090	9398
43	7242	9217
44	7352	8986
45	7529	8839
46	7736	8724
47	7868	8524
48	8023	8351
49	8157	8157
50	8349	8022
51	8518	7863
52	8660	7680
53	8795	7492
54	8922	7300
55	9053	7113
56	9171	6919
57	9292	6729
58	9443	6562
59	9577	6384
60	9696	6199
61	9848	6036
62	9983	5863
63	10141	5704
64	10302	5547
65	10486	5402
66	10602	5222
67	10712	5041
68	10850	4875
69	10987	4709
70	11109	4537
71	11269	4382
72	11417	4222
73	11575	4066
74	11729	3909
75	11939	3770
76	12257	3661
77	12426	3504
78	12577	3343
79	12696	3174
80	12837	3011
81	13025	2859
82	13136	2690
83	13297	2532
84	13413	2367
85	13533	2203
86	13658	2040
87	13785	1879
88	13913	1719
89	14056	1561
90	14173	1401
91	14317	1244
92	14456	1088
93	14608	932
94	14710	774
95	14822	617
96	14930	461
97	15098	308
98	15208	153
99	15348	0
