iter	RMSE
0	37.29609992
1	35.46569953
2	33.72027705
3	32.36168818
4	31.13203898
5	29.90587137
6	28.91482884
7	28.06394214
8	27.29094121
9	26.55561485
10	25.89613628
11	25.34194027
12	24.84896889
13	24.3778504
14	24.03188198
15	23.69688873
16	23.38570603
17	23.09500785
18	22.83159641
19	22.61503379
20	22.40763659
21	22.22346204
22	22.03110798
23	21.86706916
24	21.73261955
25	21.61443945
26	21.50019788
27	21.3678509
28	21.2746471
29	21.15223095
30	21.05916524
31	20.97453336
32	20.91368671
33	20.89601813
34	20.87446893
35	20.80449346
36	20.72441818
37	20.70155267
38	20.63719146
39	20.61230009
40	20.55342719
41	20.49732995
42	20.43820773
43	20.42631692
44	20.41240329
45	20.39025484
46	20.34128429
47	20.29696312
48	20.2507391
49	20.18462879
50	20.12456159
51	20.10975454
52	20.09441415
53	20.07882998
54	20.03441514
55	20.02042462
56	19.94025874
57	19.87494506
58	19.85020591
59	19.79688956
60	19.77909283
61	19.74055418
62	19.71391223
63	19.69425614
64	19.66639021
65	19.65669326
66	19.62916896
67	19.61990241
68	19.60640458
69	19.56536001
70	19.53556298
71	19.49944194
72	19.4726966
73	19.46194806
74	19.44916871
75	19.43292925
76	19.40744174
77	19.39303835
78	19.3494981
79	19.27541535
80	19.259854
81	19.24985256
82	19.21270474
83	19.19131195
84	19.14006557
85	19.1284895
86	19.11928315
87	19.11230972
88	19.0654219
89	19.01189934
90	19.00221023
91	18.95745189
92	18.90348624
93	18.85635412
94	18.84675177
95	18.80589763
96	18.76882858
97	18.71401012
98	18.70544279
99	18.6527839
