iter	Passed	Remaining
0	265	26290
1	414	20294
2	572	18523
3	754	18099
4	906	17230
5	1081	16938
6	1279	17005
7	1442	16592
8	1579	15973
9	1737	15635
10	1902	15396
11	2032	14907
12	2179	14585
13	2330	14316
14	2487	14094
15	2639	13857
16	2817	13754
17	3000	13670
18	3218	13719
19	3421	13684
20	3677	13833
21	3901	13831
22	4166	13949
23	4492	14225
24	5097	15292
25	5229	14882
26	5736	15509
27	5831	14996
28	6275	15363
29	6513	15198
30	6770	15070
31	6974	14820
32	7170	14558
33	7473	14507
34	7643	14195
35	7783	13838
36	7942	13524
37	8076	13176
38	8217	12853
39	8357	12535
40	8523	12264
41	8661	11961
42	8825	11698
43	8962	11407
44	9103	11126
45	9232	10838
46	9401	10601
47	9553	10349
48	9696	10091
49	9862	9862
50	10062	9668
51	10202	9417
52	10367	9193
53	10579	9012
54	10827	8858
55	11074	8701
56	11442	8632
57	11619	8414
58	11849	8234
59	12145	8097
60	12415	7937
61	12655	7756
62	12834	7537
63	13012	7319
64	13174	7093
65	13372	6888
66	13601	6699
67	13788	6488
68	13922	6255
69	14047	6020
70	14169	5787
71	15189	5907
72	15348	5676
73	15465	5433
74	15543	5181
75	15717	4963
76	15811	4722
77	15913	4488
78	16012	4256
79	16135	4033
80	16267	3815
81	16493	3620
82	16653	3410
83	16875	3214
84	17027	3004
85	17204	2800
86	17375	2596
87	17508	2387
88	17690	2186
89	17788	1976
90	17859	1766
91	17940	1560
92	18029	1357
93	18111	1156
94	18189	957
95	18300	762
96	18451	570
97	18566	378
98	18651	188
99	18742	0
